time,blocks_count,agents_present,any_agent_missing,blocks_mismatch
31.62,4,0.0,False,True
31.64,4,0.0,False,True
31.66,4,0.0,False,True
31.68,4,0.0,False,True
31.7,4,0.0,False,True
31.72,4,0.0,False,True
31.74,4,0.0,False,True
31.76,4,0.0,False,True
31.78,4,0.0,False,True
31.8,4,0.0,False,True
31.82,4,0.0,False,True
31.84,4,0.0,False,True
31.86,4,0.0,False,True
31.88,4,0.0,False,True
31.9,4,0.0,False,True
31.92,4,0.0,False,True
31.94,4,0.0,False,True
31.96,4,0.0,False,True
31.98,4,0.0,False,True
32.0,4,0.0,False,True
32.02,4,0.0,False,True
32.04,4,0.0,False,True
32.06,4,0.0,False,True
32.08,4,0.0,False,True
32.1,4,0.0,False,True
32.12,4,0.0,False,True
32.14,4,0.0,False,True
32.16,4,0.0,False,True
32.18,4,0.0,False,True
32.2,4,0.0,False,True
32.22,4,0.0,False,True
32.24,4,0.0,False,True
32.26,4,0.0,False,True
32.28,4,0.0,False,True
32.3,4,0.0,False,True
32.32,4,0.0,False,True
32.34,4,0.0,False,True
32.36,4,0.0,False,True
32.38,4,0.0,False,True
32.4,4,0.0,False,True
32.42,4,0.0,False,True
32.44,4,0.0,False,True
32.46,4,0.0,False,True
32.48,4,0.0,False,True
32.5,4,0.0,False,True
32.52,4,0.0,False,True
32.54,4,0.0,False,True
32.56,4,0.0,False,True
32.58,4,0.0,False,True
32.6,4,0.0,False,True
32.62,4,0.0,False,True
32.64,4,0.0,False,True
32.66,4,0.0,False,True
32.68,4,0.0,False,True
32.7,4,0.0,False,True
32.72,4,0.0,False,True
32.74,4,0.0,False,True
32.76,4,0.0,False,True
32.78,4,0.0,False,True
32.8,4,0.0,False,True
32.82,4,0.0,False,True
32.84,4,0.0,False,True
32.86,4,0.0,False,True
32.88,4,0.0,False,True
32.9,4,0.0,False,True
32.92,4,0.0,False,True
32.94,4,0.0,False,True
32.96,4,0.0,False,True
32.98,4,0.0,False,True
33.0,4,0.0,False,True
33.02,4,0.0,False,True
33.04,4,0.0,False,True
33.06,4,0.0,False,True
33.08,4,0.0,False,True
33.1,4,0.0,False,True
33.12,4,0.0,False,True
33.14,4,0.0,False,True
33.16,4,0.0,False,True
33.18,4,0.0,False,True
33.2,4,0.0,False,True
33.22,4,0.0,False,True
33.24,4,0.0,False,True
33.26,4,0.0,False,True
33.28,4,0.0,False,True
33.3,4,0.0,False,True
33.32,4,0.0,False,True
33.34,4,0.0,False,True
33.36,4,0.0,False,True
33.38,4,0.0,False,True
33.4,4,0.0,False,True
33.42,4,0.0,False,True
33.44,4,0.0,False,True
33.46,4,0.0,False,True
33.48,4,0.0,False,True
33.5,4,0.0,False,True
33.52,4,0.0,False,True
33.54,4,0.0,False,True
33.56,4,0.0,False,True
33.58,4,0.0,False,True
33.6,4,0.0,False,True
33.62,4,0.0,False,True
33.64,4,0.0,False,True
33.66,4,0.0,False,True
33.68,4,0.0,False,True
33.7,4,0.0,False,True
33.72,4,0.0,False,True
33.74,4,0.0,False,True
33.76,4,0.0,False,True
33.78,4,0.0,False,True
33.8,4,0.0,False,True
33.82,4,0.0,False,True
33.84,4,0.0,False,True
33.86,4,0.0,False,True
33.88,4,0.0,False,True
33.9,4,0.0,False,True
33.92,4,0.0,False,True
33.94,4,0.0,False,True
33.96,4,0.0,False,True
33.98,4,0.0,False,True
34.0,4,0.0,False,True
34.02,4,0.0,False,True
34.04,4,0.0,False,True
34.06,4,0.0,False,True
34.08,4,0.0,False,True
34.1,4,0.0,False,True
34.12,4,0.0,False,True
34.14,4,0.0,False,True
34.16,4,0.0,False,True
34.18,4,0.0,False,True
34.2,4,0.0,False,True
34.22,4,0.0,False,True
34.24,4,0.0,False,True
34.26,4,0.0,False,True
34.28,4,0.0,False,True
34.3,4,0.0,False,True
34.32,4,0.0,False,True
34.34,4,0.0,False,True
34.36,4,0.0,False,True
34.38,4,0.0,False,True
34.4,4,0.0,False,True
34.42,4,0.0,False,True
34.44,4,0.0,False,True
34.46,4,0.0,False,True
34.48,4,0.0,False,True
34.5,4,0.0,False,True
34.52,4,0.0,False,True
34.54,4,0.0,False,True
34.56,4,0.0,False,True
34.58,4,0.0,False,True
34.6,4,0.0,False,True
34.62,4,0.0,False,True
34.64,4,0.0,False,True
34.66,4,0.0,False,True
34.68,4,0.0,False,True
34.7,4,0.0,False,True
34.72,4,0.0,False,True
34.74,4,0.0,False,True
34.76,4,0.0,False,True
34.78,4,0.0,False,True
34.8,4,0.0,False,True
34.82,4,0.0,False,True
34.84,4,0.0,False,True
34.86,4,0.0,False,True
34.88,4,0.0,False,True
34.9,4,0.0,False,True
34.92,4,0.0,False,True
34.94,4,0.0,False,True
34.96,4,0.0,False,True
34.98,4,0.0,False,True
35.0,4,0.0,False,True
35.02,4,0.0,False,True
35.04,4,0.0,False,True
35.06,4,0.0,False,True
35.08,4,0.0,False,True
35.1,4,0.0,False,True
35.12,4,0.0,False,True
35.14,4,0.0,False,True
35.16,4,0.0,False,True
35.18,4,0.0,False,True
35.2,4,0.0,False,True
35.22,4,0.0,False,True
35.24,4,0.0,False,True
35.26,4,0.0,False,True
35.28,4,0.0,False,True
35.3,4,0.0,False,True
35.32,4,0.0,False,True
35.34,4,0.0,False,True
35.36,4,0.0,False,True
35.38,4,0.0,False,True
35.4,4,0.0,False,True
35.42,4,0.0,False,True
35.44,4,0.0,False,True
35.46,4,0.0,False,True
35.48,4,0.0,False,True
35.5,4,0.0,False,True
35.52,4,0.0,False,True
35.54,4,0.0,False,True
35.56,4,0.0,False,True
35.58,4,0.0,False,True
35.6,4,0.0,False,True
35.62,4,0.0,False,True
35.64,4,0.0,False,True
35.66,4,0.0,False,True
35.68,4,0.0,False,True
35.7,4,0.0,False,True
35.72,4,0.0,False,True
35.74,4,0.0,False,True
35.76,4,0.0,False,True
35.78,4,0.0,False,True
35.8,4,0.0,False,True
35.82,4,0.0,False,True
35.84,4,0.0,False,True
35.86,4,0.0,False,True
35.88,4,0.0,False,True
35.9,4,0.0,False,True
35.92,4,0.0,False,True
35.94,4,0.0,False,True
35.96,4,0.0,False,True
35.98,4,0.0,False,True
36.0,4,0.0,False,True
36.02,4,0.0,False,True
36.04,4,0.0,False,True
36.06,4,0.0,False,True
36.08,4,0.0,False,True
36.1,4,0.0,False,True
36.12,4,0.0,False,True
36.14,4,0.0,False,True
36.16,4,0.0,False,True
36.18,4,0.0,False,True
36.2,4,0.0,False,True
36.22,4,0.0,False,True
36.24,4,0.0,False,True
36.26,4,0.0,False,True
36.28,4,0.0,False,True
36.3,4,0.0,False,True
36.32,4,0.0,False,True
36.34,4,0.0,False,True
36.36,4,0.0,False,True
36.38,4,0.0,False,True
36.4,4,0.0,False,True
36.42,4,0.0,False,True
36.44,4,0.0,False,True
36.46,4,0.0,False,True
36.48,4,0.0,False,True
36.5,4,0.0,False,True
36.52,4,0.0,False,True
36.54,4,0.0,False,True
36.56,4,0.0,False,True
36.58,4,0.0,False,True
36.6,4,0.0,False,True
36.62,4,0.0,False,True
36.64,4,0.0,False,True
36.66,4,0.0,False,True
36.68,4,0.0,False,True
36.7,4,0.0,False,True
36.72,4,0.0,False,True
36.74,4,0.0,False,True
36.76,4,0.0,False,True
36.78,4,0.0,False,True
36.8,4,0.0,False,True
36.82,4,0.0,False,True
36.84,4,0.0,False,True
36.86,4,0.0,False,True
36.88,4,0.0,False,True
36.9,4,0.0,False,True
36.92,4,0.0,False,True
36.94,4,0.0,False,True
36.96,4,0.0,False,True
36.98,4,0.0,False,True
37.0,4,0.0,False,True
37.02,4,0.0,False,True
37.04,4,0.0,False,True
37.06,4,0.0,False,True
37.08,4,0.0,False,True
37.1,4,0.0,False,True
37.12,4,0.0,False,True
37.14,4,0.0,False,True
37.16,4,0.0,False,True
37.18,4,0.0,False,True
37.2,4,0.0,False,True
37.22,4,0.0,False,True
37.24,4,0.0,False,True
37.26,4,0.0,False,True
37.28,4,0.0,False,True
37.3,4,0.0,False,True
37.32,4,0.0,False,True
37.34,4,0.0,False,True
37.36,4,0.0,False,True
37.38,4,0.0,False,True
37.4,4,0.0,False,True
37.42,4,0.0,False,True
37.44,4,0.0,False,True
37.46,4,0.0,False,True
37.48,4,0.0,False,True
37.5,4,0.0,False,True
37.52,4,0.0,False,True
37.54,4,0.0,False,True
37.56,4,0.0,False,True
37.58,4,0.0,False,True
37.6,4,0.0,False,True
37.62,4,0.0,False,True
37.64,4,0.0,False,True
37.66,4,0.0,False,True
37.68,4,0.0,False,True
37.7,4,0.0,False,True
37.72,4,0.0,False,True
37.74,4,0.0,False,True
37.76,4,0.0,False,True
37.78,4,0.0,False,True
37.8,4,0.0,False,True
37.82,4,0.0,False,True
37.84,4,0.0,False,True
37.86,4,0.0,False,True
37.88,9,0.0,False,True
37.9,9,0.0,False,True
37.92,9,0.0,False,True
37.94,9,0.0,False,True
37.96,9,0.0,False,True
37.98,9,0.0,False,True
38.0,9,0.0,False,True
38.02,9,0.0,False,True
38.04,9,0.0,False,True
38.06,9,0.0,False,True
38.08,9,0.0,False,True
38.1,9,0.0,False,True
38.12,9,0.0,False,True
38.14,9,0.0,False,True
38.16,9,0.0,False,True
38.18,9,0.0,False,True
38.2,9,0.0,False,True
38.22,9,0.0,False,True
38.24,9,0.0,False,True
38.26,9,0.0,False,True
38.28,9,0.0,False,True
38.3,9,0.0,False,True
38.32,9,0.0,False,True
38.34,9,0.0,False,True
38.36,14,0.0,False,True
38.38,15,0.0,False,True
38.4,15,0.0,False,True
38.42,15,0.0,False,True
38.44,15,0.0,False,True
38.46,15,0.0,False,True
38.48,15,0.0,False,True
38.5,15,0.0,False,True
38.52,15,0.0,False,True
38.54,15,0.0,False,True
38.56,15,0.0,False,True
38.58,16,0.0,False,True
38.6,22,0.0,False,True
38.62,22,0.0,False,True
38.64,22,0.0,False,True
38.66,22,0.0,False,True
38.68,22,0.0,False,True
38.7,22,0.0,False,True
38.72,22,0.0,False,True
38.74,29,0.0,False,True
38.76,30,0.0,False,True
38.78,30,0.0,False,True
38.8,30,0.0,False,True
38.82,30,0.0,False,True
38.84,30,0.0,False,True
38.86,30,0.0,False,True
38.88,30,0.0,False,True
38.9,30,0.0,False,True
38.92,30,0.0,False,True
38.94,30,0.0,False,True
38.96,30,0.0,False,True
38.98,30,0.0,False,True
39.0,30,0.0,False,True
39.02,30,0.0,False,True
39.04,30,0.0,False,True
39.06,30,0.0,False,True
39.08,30,0.0,False,True
39.1,30,0.0,False,True
39.12,30,0.0,False,True
39.14,30,0.0,False,True
39.16,30,0.0,False,True
39.18,30,0.0,False,True
39.2,30,0.0,False,True
39.22,30,0.0,False,True
39.24,30,0.0,False,True
39.26,30,0.0,False,True
39.28,30,0.0,False,True
39.3,30,0.0,False,True
39.32,30,0.0,False,True
39.34,30,0.0,False,True
39.36,30,0.0,False,True
39.38,30,0.0,False,True
39.4,30,0.0,False,True
39.42,30,0.0,False,True
39.44,30,0.0,False,True
39.46,30,0.0,False,True
39.48,30,0.0,False,True
39.5,30,0.0,False,True
39.52,30,0.0,False,True
39.54,30,0.0,False,True
39.56,30,0.0,False,True
39.58,30,0.0,False,True
39.6,30,0.0,False,True
39.62,30,0.0,False,True
39.64,30,0.0,False,True
39.66,30,0.0,False,True
39.68,30,0.0,False,True
39.7,30,0.0,False,True
39.72,30,0.0,False,True
39.74,30,0.0,False,True
39.76,33,0.0,False,True
39.78,34,0.0,False,True
39.8,34,0.0,False,True
39.82,34,0.0,False,True
39.84,34,0.0,False,True
39.86,34,0.0,False,True
39.88,34,0.0,False,True
39.9,34,0.0,False,True
39.92,34,0.0,False,True
39.94,34,0.0,False,True
39.96,34,0.0,False,True
39.98,34,0.0,False,True
