time,blocks_count,agents_present,any_agent_missing,blocks_mismatch
30.04,3,0.0,False,True
30.06,4,0.0,False,True
30.08,4,0.0,False,True
30.1,4,0.0,False,True
30.12,4,0.0,False,True
30.14,4,0.0,False,True
30.16,4,0.0,False,True
30.18,4,0.0,False,True
30.2,4,0.0,False,True
30.22,4,0.0,False,True
30.24,4,0.0,False,True
30.26,4,0.0,False,True
30.28,4,0.0,False,True
30.3,4,0.0,False,True
30.32,4,0.0,False,True
30.34,4,0.0,False,True
30.36,4,0.0,False,True
30.38,4,0.0,False,True
30.4,4,0.0,False,True
30.42,4,0.0,False,True
30.44,4,0.0,False,True
30.46,4,0.0,False,True
30.48,4,0.0,False,True
30.5,4,0.0,False,True
30.52,4,0.0,False,True
30.54,4,0.0,False,True
30.56,4,0.0,False,True
30.58,4,0.0,False,True
30.6,4,0.0,False,True
30.62,4,0.0,False,True
30.64,4,0.0,False,True
30.66,4,0.0,False,True
30.68,4,0.0,False,True
30.7,4,0.0,False,True
30.72,4,0.0,False,True
30.74,4,0.0,False,True
30.76,4,0.0,False,True
30.78,4,0.0,False,True
30.8,4,0.0,False,True
30.82,4,0.0,False,True
30.84,4,0.0,False,True
30.86,4,0.0,False,True
30.88,4,0.0,False,True
30.9,4,0.0,False,True
30.92,4,0.0,False,True
30.94,4,0.0,False,True
30.96,4,0.0,False,True
30.98,4,0.0,False,True
31.0,4,0.0,False,True
31.02,4,0.0,False,True
31.04,4,0.0,False,True
31.06,4,0.0,False,True
31.08,4,0.0,False,True
31.1,4,0.0,False,True
31.12,4,0.0,False,True
31.14,4,0.0,False,True
31.16,4,0.0,False,True
31.18,4,0.0,False,True
31.2,4,0.0,False,True
31.22,4,0.0,False,True
31.24,4,0.0,False,True
31.26,4,0.0,False,True
31.28,4,0.0,False,True
31.3,4,0.0,False,True
31.32,4,0.0,False,True
31.34,4,0.0,False,True
31.36,4,0.0,False,True
31.38,4,0.0,False,True
31.4,4,0.0,False,True
31.42,4,0.0,False,True
31.44,4,0.0,False,True
31.46,4,0.0,False,True
31.48,4,0.0,False,True
31.5,4,0.0,False,True
31.52,4,0.0,False,True
31.54,4,0.0,False,True
31.56,4,0.0,False,True
31.58,4,0.0,False,True
31.6,4,0.0,False,True
