,a_mean,b_mean,diff,improved,a_slope,b_slope
timeHidden,0.033421052631578956,0.015071428571428572,-0.018349624060150383,False,0.000873684210526316,0.0003415435139573072
episode_duration_seconds,20.0,100.0,80.0,False,-3.0944388833329285e-16,1.3656630815839268e-15
